X,Y,ID,tC_015,tC_1530,FFtC,tC,Sand,Silt,Clay,pH,K,P,Mg,Ca,Min,RM,SuM,SiM,BE,RO,WB,GB,YB,BW,BH,SH,AE,WA,BA,IW,MW,HE
582028.000510000,5031569.11781100,118,2.70347870372596,1.45268735165838,0.876757768502548,5.03292382388689,90.1900000000000,5.18000000000000,4.62000000000000,5.22000000000000,18,74.4900000000000,10,44,4.96759712964141,1,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0
581981.642948000,5031547.57484200,119,3.06789033823705,1.81974928209786,0.812967808309528,5.70060742864444,61.9200000000000,20.2000000000000,17.8800000000000,4.73000000000000,31,3.09000000000000,14,56,46.6698224998430,10,6,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0
582336.135242000,5031771.77116400,121,4.10022444909261,1.63204968820886,0,5.73227413730147,29.0200000000000,31.8400000000000,39.1400000000000,6.77000000000000,171,7.64000000000000,535,3020,30.2534117920171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582282.464188000,5031754.05673200,122,5.90745055433328,2.23211449747172,0,8.13956505180500,53.3200000000000,18.2800000000000,28.3900000000000,6.69000000000000,133,9.69000000000000,497,3000,24.4105695677631,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582236.913287000,5031729.01219100,123,3.89929075944827,2.56015406160731,0,6.45944482105558,46.9300000000000,33.0400000000000,20.0300000000000,5.91000000000000,113,55.1500000000000,190,1730,178.786558622964,0,13,0,0,3,0,0,0,0,2,0,0,10,0,0,0,0
582188.009588000,5031700.48269500,124,3.72774178739381,1.53469117579463,0,5.26243296318844,56.1800000000000,27.6100000000000,16.2100000000000,5.51000000000000,94,13.6600000000000,152,750,178.629333770408,5,7,19,0,0,0,0,0,2,2,0,0,6,0,0,0,0
582139.937214000,5031681.94982700,125,5.27571811552455,1.68540649641076,0,6.96112461193531,37.2400000000000,28.5000000000000,34.2600000000000,5.54000000000000,345,30.1200000000000,902,3550,517.845680839676,10,0,4,0,0,0,0,0,1,0,0,0,2,5,0,2,0
582097.340230000,5031662.34480400,126,4.38912684382483,1.54769612153468,0,5.93682296535951,11.0100000000000,31.9900000000000,57,5.93000000000000,0,24.4700000000000,850,3030,220.217692225330,10,0,0,0,0,0,0,0,0,0,5,0,0,1,0,2,0
582051.974201000,5031638.17761700,127,4.03538838877910,1.76055760256737,0,5.79594599134646,14.4900000000000,43.7400000000000,41.7700000000000,6.04000000000000,185,41.1700000000000,460,1840,208.026778931262,1,0,0,4,0,0,0,0,14,0,5,0,0,4,0,0,0
582001.626577000,5031616.62517000,128,3.14947224248876,1.44929025025893,0.832366819532848,5.43112931228054,40.5000000000000,35,24.5000000000000,5.34000000000000,72,8.11000000000000,30,116,55.6758704792689,2,5,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0
581961.671452000,5031588.51074800,129,4.99156379318547,1.49888753952416,0,6.49045133270963,10.2500000000000,44.1700000000000,45.5800000000000,5.75000000000000,148,38.6400000000000,285,1480,228.156184297415,2,10,0,8,2,0,0,6,2,0,2,0,0,1,0,0,0
582307.349430000,5031819.48321000,131,3.29865855383777,3.10523754942063,0,6.40389610325840,43.2000000000000,34.2300000000000,22.5700000000000,6.19000000000000,51,16.4800000000000,243,2060,75.4892561781150,0,23,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
582258.593331000,5031795.63968100,132,3.93410564052094,0.828247353700507,0,4.76235299422145,70.5500000000000,18.2900000000000,11.1600000000000,6.57000000000000,59,9.85000000000000,237,1580,108.992596057279,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582215.804334000,5031774.93310400,133,3.15522903631893,1.21175637286503,0,4.36698540918396,56.3900000000000,23.2700000000000,20.3400000000000,6.60000000000000,70,25.2500000000000,191,1940,141.267760059159,0,15,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0
582167.649206000,5031756.96829100,134,5.01806924979095,2.29389518332341,0,7.31196443311436,56.2700000000000,27.1800000000000,16.5400000000000,5.92000000000000,58,40.4300000000000,163,1650,124.581614594595,1,12,0,2,4,0,0,0,8,6,0,0,5,0,0,0,0
582120.660368000,5031731.01425500,135,5.87804541729949,1.76655182832320,0,7.64459724562269,48.7800000000000,24.3400000000000,26.8800000000000,6.30000000000000,215,45.4100000000000,760,3250,481.000817096581,7,0,0,0,0,0,0,0,0,0,2,6,2,4,0,2,0
582073.390997000,5031706.11674000,136,4.71000858567117,4.37905583603394,0,9.08906442170512,11.5900000000000,35.9700000000000,52.4400000000000,6.16000000000000,280,51.8500000000000,745,3270,239.102534877466,8,0,0,0,0,0,0,0,4,0,2,2,4,5,0,2,0
582034.776189000,5031691.59725700,137,4.43824015818476,2.23093206286030,0,6.66917222104506,12.2000000000000,26.1200000000000,61.6700000000000,5.94000000000000,228,19.5900000000000,641,2520,238.874354514965,0,12,0,0,2,0,0,0,5,6,1,0,0,0,1,0,0
581990.128534000,5031666.91357600,138,5.20313632981523,1.82556313329607,0,7.02869946311130,16.9200000000000,44.6700000000000,38.4100000000000,5.62000000000000,215,18.2800000000000,320,1270,251.065853344680,0,7,0,2,6,0,0,0,6,0,2,0,2,4,2,0,0
581941.362132000,5031633.64007000,139,4.46937773110625,0.635721456332911,0,5.10509918743917,23.0700000000000,28.9600000000000,47.9700000000000,5.81000000000000,260,27.5900000000000,255,999,185.328405113315,0,5,0,10,0,0,0,0,8,0,7,0,6,0,0,0,0
582230.240306000,5031843.58550000,142,5.17429805205086,3.00649776724324,0,8.18079581929409,44.9900000000000,27.1300000000000,27.8800000000000,7.23000000000000,102,32.7600000000000,827,3700,182.419858299783,0,14,0,5,0,0,0,0,2,2,0,0,9,0,0,0,0
582183.422399000,5031826.20188700,143,3.58893645783088,2.05623971706054,0,5.64517617489142,62.2900000000000,22.9900000000000,14.7200000000000,6.04000000000000,65,20.5200000000000,227,1670,112.220770404370,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
